姓名,出生年,單位,量級,體重,蹲舉,S.Rk,臥舉,B.Rk,硬舉,D.Rk,總和,T.Rk,賽制,賽事,組別,日期,地點
劉俊良,1984,個人(新竹縣),66kg,65.08,152.5,15,95.0,14,170.0,16,417.5,14,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
蕭翔,2000,個人（新竹市）,66kg,64.96,140.0,21,95.0,13,175.0,14,410.0,15,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
王竣暉,1998,北興街超級蝦D,66kg,63.40,140.0,19,80.0,17,170.0,15,390.0,16,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
邱慶平,1998,花蓮縣,66kg,64.20,140.0,20,70.0,19,162.5,17,372.5,17,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
鄭至豐,1993,個人(高雄市),66kg,63.98,145.0,18,60.0,20,152.5,19,357.5,18,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
林可鍵,1992,國立臺灣體育運動大學B,66kg,60.54,145.0,17,45.0,21,160.0,18,350.0,19,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
廖健傑,1995,個人（台中市）,66kg,64.76,120.0,22,72.5,18,150.0,20,342.5,20,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
邱奕凱,1998,北興街超級蝦A,66kg,65.58,210.0,2,125.0,4,0.0,-,-,-,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
陳麒帆,1997,個人（台南市）,66kg,64.62,170.0,11,0.0,-,0.0,-,-,-,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
王佑成,2001,選拔-未參加盃賽,66kg,64.90,195.0,-,120.0,-,240.0,-,555.0,-,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
范峻嘉,1999,國立臺灣體育運動大學A,74kg,72.85,220.0,6,190.0,1,250.0,5,660.0,1,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
郭介嵩,1992,個人（台北市）,74kg,73.05,240.0,2,150.0,4,262.5,1,652.5,2,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
黃士倫,1991,個人（台北市）,74kg,73.50,235.0,4,160.0,3,255.0,3,650.0,3,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
鄭又睿,1999,新北市體育總會健力委員會,74kg,72.95,250.0,1,137.5,6,260.0,2,647.5,4,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
張翊倫,2002,高雄市B,74kg,72.20,220.0,5,135.0,8,252.5,4,607.5,5,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
柯宇杰,2000,白健身運動休閒會館,74kg,73.00,235.0,3,137.5,7,230.0,11,602.5,6,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
黃敏竣,2001,國立臺灣體育運動大學A,74kg,73.65,220.0,7,135.0,9,225.0,13,580.0,7,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
邱大原,1999,個人（新北市）,74kg,73.15,207.5,11,127.5,11,230.0,12,565.0,8,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
謝榮賢,2002,個人（高雄市）,74kg,73.10,207.5,10,115.0,20,240.0,8,562.5,9,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
林侑逸,1997,個人(高雄市),74kg,72.90,190.0,21,120.0,16,247.5,6,557.5,10,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
戴忱晟,1988,個人（高雄市）,74kg,72.36,185.0,24,120.0,15,245.0,7,550.0,11,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
郝奕涵,1994,個人（台中市）,74kg,72.55,210.0,8,110.0,28,230.0,10,550.0,12,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
李承哲,1996,新竹力量學校,74kg,72.00,195.0,14,130.0,10,220.0,14,545.0,13,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
方昶智,1994,托瑪斯,74kg,71.28,190.0,18,120.0,13,230.0,9,540.0,14,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
黃啟睿,1999,高雄市A,74kg,73.76,195.0,15,120.0,17,220.0,17,535.0,15,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
蔡易展,1990,個人（雲林縣）,74kg,72.25,192.5,16,120.0,14,220.0,15,532.5,16,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
王祺霖,1997,BK健力,74kg,73.48,190.0,22,142.5,5,190.0,37,522.5,17,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
林冠綸,1996,北興街超級蝦C,74kg,70.96,190.0,17,110.0,27,215.0,18,515.0,18,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
周仕銓,2001,北興街超級蝦D,74kg,72.05,190.0,19,112.5,23,210.0,21,512.5,19,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
吳鎮宇,1991,個人（台南市）,74kg,73.34,177.5,29,112.5,25,220.0,16,510.0,20,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
李基成,1996,雲林縣,74kg,73.45,180.0,28,160.0,2,170.0,41,510.0,21,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
王韋博,1994,新竹力量學校,74kg,72.10,175.0,30,122.5,12,207.5,24,505.0,22,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
陳聖文,2000,個人（新北市）,74kg,71.90,185.0,23,105.0,32,210.0,20,500.0,23,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
徐浩瑜,1994,北興街超級蝦C,74kg,72.88,190.0,20,100.0,37,210.0,22,500.0,24,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
鄭安廷,2003,國立臺灣體育運動大學B,74kg,72.70,180.0,27,110.0,30,200.0,30,490.0,25,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
張志揚,1990,高雄市B,74kg,72.00,197.5,13,90.0,41,200.0,28,487.5,26,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
鍾志和,1999,個人(嘉義市),74kg,73.80,200.0,12,80.0,46,207.5,25,487.5,27,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
楊景博,1999,個人（台中市）,74kg,72.30,175.0,31,115.0,19,195.0,32,485.0,28,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
凌浩淳,1994,個人(桃園市),74kg,70.95,160.0,37,115.0,18,200.0,27,475.0,29,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
廖冠泓,1991,個人（彰化市）,74kg,72.05,170.0,33,112.5,24,192.5,34,475.0,30,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
曾中威,1999,個人,74kg,72.80,155.0,40,105.0,33,215.0,19,475.0,31,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
鄭人及,2002,個人(台北市),74kg,72.06,160.0,38,102.5,34,207.5,23,470.0,32,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
江灝,1997,個人（新北市）,74kg,69.86,160.0,36,112.5,22,195.0,31,467.5,33,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
蔡承軒,1999,個人(苗栗縣),74kg,72.80,175.0,32,102.5,35,190.0,36,467.5,34,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
楊益棋,1992,桃園市體育總會健力委員會,74kg,70.98,180.0,25,95.0,38,185.0,38,460.0,35,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
葉勁緯,1995,個人(台南市),74kg,71.64,162.5,35,95.0,39,202.5,26,460.0,36,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
蔡侑軒,2003,個人（澎湖縣）,74kg,73.52,152.5,42,115.0,21,185.0,39,452.5,37,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
匡湘穎,1999,臺南市,74kg,72.64,165.0,34,90.0,42,195.0,33,450.0,38,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
紀騰翔,2001,國立台灣體育運動大學B,74kg,69.80,155.0,39,90.0,40,190.0,35,435.0,39,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
沈裕桀,1996,個人(台中市),74kg,67.18,152.5,41,110.0,26,160.0,43,422.5,40,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
蔡政翰,1984,個人（新北市）,74kg,72.00,127.5,45,85.0,44,200.0,29,412.5,41,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
詹子毅,1989,個人(新北市),74kg,73.08,145.0,43,90.0,43,167.5,42,402.5,42,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
張友鑫,1983,臺南市,74kg,73.00,0.0,-,80.0,45,170.0,40,-,-,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
林威霖,1998,白健身運動休閒會館,74kg,73.80,145.0,44,102.5,36,0.0,-,-,-,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
林冠宏,2000,個人（澎湖縣）,74kg,71.75,180.0,26,105.0,31,0.0,-,-,-,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
陳廣庭,2002,個人(台南市),74kg,72.65,210.0,9,110.0,29,0.0,-,-,-,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
吳為淳,1990,個人（雲林縣）,83kg,82.20,270.5,1,170.0,1,265.0,6,705.5,1,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
朱宇森,1997,托馬斯,83kg,82.35,245.0,3,142.5,8,315.5,1,703.0,2,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
吳煒穎,1993,個人(台中市),83kg,80.40,242.5,4,150.0,6,300.0,3,692.5,3,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
官義欣,1982,高雄市A,83kg,80.25,230.0,7,140.0,9,300.0,2,670.0,4,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
黃政榮,1998,個人(新北市),83kg,82.20,237.5,6,157.5,4,255.0,10,650.0,5,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
周上譯,2000,國立臺灣體育運動大學A,83kg,81.42,255.0,2,150.0,7,225.0,28,630.0,6,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
吳韋霖,1993,個人（台南市）,83kg,82.05,230.0,8,130.0,19,270.0,4,630.0,7,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
游適銘,1997,健體象隊,83kg,79.68,240.0,5,110.0,34,260.0,7,610.0,8,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
莫迦竣,1997,白健身運動休閒會館,83kg,81.30,212.5,12,130.0,18,255.0,8,597.5,9,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
劉泳諄,1995,彰化縣體育會健力委員會B,83kg,79.78,225.0,9,132.5,16,232.5,22,590.0,10,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
陳韋綸,1995,個人（台中市）,83kg,81.65,212.5,13,112.5,30,265.0,5,590.0,11,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
林彥龍,2000,個人（桃園市）,83kg,81.05,212.5,11,140.0,10,235.0,20,587.5,12,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
張浩恂,1988,個人（桃園市）,83kg,81.35,210.0,16,135.0,14,240.0,15,585.0,13,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
黃昱誠,2002,高苑科技大學,83kg,77.44,210.0,14,122.5,21,247.5,12,580.0,14,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
王佳齊,1999,新竹力量學校,83kg,82.05,215.0,10,135.0,15,230.0,26,580.0,15,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
謝函辰,1991,高雄市A,83kg,81.95,190.0,31,162.5,3,220.0,34,572.5,16,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
吳閔瀚,1997,個人（臺南市）,83kg,81.55,205.0,21,110.0,39,255.0,9,570.0,17,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
曾士軒,1997,個人（新北市）,83kg,82.65,207.5,20,137.5,11,225.0,30,570.0,18,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
林弘彥,1998,高雄市B,83kg,80.16,195.0,29,152.5,5,215.0,35,562.5,19,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
劉柏佑,2000,國立臺灣體育運動大學A,83kg,76.75,200.0,22,135.0,12,225.0,27,560.0,20,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
呂偉銘,1987,BK健力,83kg,79.30,195.0,28,130.0,17,235.0,17,560.0,21,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
王宣善,1995,個人（基隆市),83kg,81.95,210.0,17,120.0,26,230.0,25,560.0,22,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
黃譯賢,1992,桃園市體育總會健力委員會,83kg,80.25,210.0,15,125.0,20,220.0,31,555.0,23,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
何翊瑋,1986,BK健力,83kg,80.50,200.0,23,135.0,13,220.0,32,555.0,24,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
林柏亨,1992,個人(雲林縣),83kg,82.30,207.5,19,112.5,31,235.0,21,555.0,25,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
蔡元隆,1989,彰化縣體育會健力委員會A,83kg,80.78,200.0,24,110.0,35,235.0,19,545.0,26,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
姜俊宏,1992,新竹力量學校,83kg,81.56,200.0,26,120.0,25,225.0,29,545.0,27,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
廖育賢,2002,國立台灣體育運動大學B,83kg,79.36,180.0,38,120.0,23,235.0,18,535.0,28,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
李冠霆,1998,個人(新北市),83kg,81.45,165.0,47,120.0,24,245.0,13,530.0,29,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
林承緯,1996,北興街超級蝦D,83kg,81.50,200.0,25,110.0,38,220.0,33,530.0,30,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
蔡允承,1996,個人（臺北市）,83kg,80.45,185.0,34,102.5,44,240.0,14,527.5,31,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
尤偉哲,1997,個人(新竹縣),83kg,81.00,185.0,35,122.5,22,215.0,36,522.5,32,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
傅子豪,1999,北興街超級蝦C,83kg,76.95,180.0,36,110.0,32,230.0,23,520.0,33,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
呂政育,1991,個人（新北市）,83kg,78.35,175.0,42,110.0,33,235.0,16,520.0,34,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
蔡民偉,1998,北興街超級蝦C,83kg,81.95,210.0,18,100.0,48,205.0,38,515.0,35,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
許榤元,1987,個人,83kg,81.72,187.5,32,110.0,40,200.0,40,497.5,36,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
蔡偉智,1999,個人(台南市),83kg,81.66,165.0,48,95.0,50,230.0,24,490.0,37,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
黃思傑,1992,個人(台南市),83kg,78.50,185.0,33,107.5,41,195.0,41,487.5,38,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
蕭文奇,1986,個人,83kg,76.22,172.5,45,100.0,46,210.0,37,482.5,39,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
林容瑱,1996,北興街超級蝦D,83kg,81.25,190.0,30,110.0,37,180.0,44,480.0,40,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
張育誠,1996,北興街超級蝦D,83kg,82.76,180.0,40,120.0,27,180.0,46,480.0,41,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
黃泳鈞,1995,Pigsbarbell,83kg,78.54,180.0,37,105.0,42,190.0,42,475.0,42,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
黃廷皓,1995,個人（桃園市）,83kg,80.55,180.0,39,105.0,43,190.0,43,475.0,43,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
宋展毓,1995,個人(新北市),83kg,81.64,175.0,44,100.0,47,200.0,39,475.0,44,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
翁立颺,2000,個人（台東縣）,83kg,77.44,175.0,41,115.0,29,177.5,47,467.5,45,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
呂承翰,1988,個人（台北市）,83kg,80.88,175.0,43,117.5,28,175.0,48,467.5,46,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
張詔晏,1997,個人（臺北市）,83kg,81.80,170.0,46,102.5,45,180.0,45,452.5,47,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
李瑋晟,1994,個人（台南市）,83kg,75.22,155.0,49,95.0,49,170.0,49,420.0,48,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
王莅程,2002,新竹力量學校,83kg,81.02,150.0,50,110.0,36,150.0,51,410.0,49,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
陳秉鴻,1996,個人（屏東縣）,83kg,82.52,145.0,51,70.0,51,152.5,50,367.5,50,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
賴泓文,1999,白健身運動休閒會館,83kg,81.30,75.0,53,167.5,2,75.0,53,317.5,51,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
郭時棣,1995,台北市,83kg,78.88,105.0,52,70.0,52,125.0,52,300.0,52,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
胡立承,1999,北興街超級蝦A,83kg,82.45,200.0,27,0.0,-,250.0,11,-,-,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
陳彥霖,1997,新北市體育總會健力委員會,93kg,91.98,260.0,1,145.0,8,308.0,1,713.0,1,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
李欣曄,1983,旗山消防隊,93kg,89.28,252.5,3,135.0,13,272.5,2,660.0,2,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
陳順富,1995,個人（新北市）,93kg,91.44,235.0,8,135.0,14,267.5,4,637.5,3,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
高文輝,1999,臺南市,93kg,88.32,250.0,4,140.0,10,235.0,15,625.0,4,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
王彥荃,1990,花蓮縣,93kg,92.32,230.0,10,150.0,5,245.0,11,625.0,5,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
顏杕陞,1995,個人(臺南市),93kg,91.60,220.0,15,150.0,4,247.5,9,617.5,6,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
許凱鈞,1992,個人(新北市),93kg,90.55,215.0,17,160.0,1,240.0,13,615.0,7,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
郭聖義,1993,個人,93kg,85.80,225.0,11,135.0,12,250.0,6,610.0,8,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
謝誌紘,2001,浪客體能中心,93kg,92.82,225.0,13,155.0,3,230.0,18,610.0,9,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
陳建全,1993,個人（桃園市）,93kg,89.55,205.0,22,147.5,6,252.5,5,605.0,10,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
李冠陞,1999,個人(新北市）,93kg,91.75,240.0,7,125.0,21,240.0,14,605.0,11,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
黃允豪,1998,北興街超級蝦A,93kg,88.00,230.0,9,120.0,23,250.0,7,600.0,12,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
莊育豪,1999,個人（桃園市）,93kg,90.35,225.0,12,145.0,7,215.0,24,585.0,13,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
林智理,1997,北興街超級蝦c,93kg,90.35,215.0,16,142.5,9,220.0,21,577.5,14,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
梁克敏,2002,國立臺灣體育運動大學A,93kg,91.70,215.0,19,130.0,20,230.0,16,575.0,15,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
施政佑,1997,彰化縣體育會健力委員會,93kg,90.70,220.0,14,130.0,19,220.0,22,570.0,16,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
楊翔棋,1997,個人（屏東縣）,93kg,90.05,190.0,25,132.5,15,240.0,12,562.5,17,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
林子傑,1996,個人（新北市）,93kg,83.80,210.0,20,130.0,17,220.0,20,560.0,18,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
李琮鋠,1993,健體象隊,93kg,92.95,200.0,23,110.0,27,250.0,8,560.0,19,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
蘇士傑,1994,個人(高雄市),93kg,91.34,215.0,18,122.5,22,210.0,27,547.5,20,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
陳鵬富,1993,個人（高雄市）,93kg,91.74,185.0,28,140.0,11,215.0,25,540.0,21,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
盧裕文,1997,台北市,93kg,88.52,190.0,24,110.0,26,225.0,19,525.0,22,經典,111年全國菁英暨水泉盃經典健力錦標賽,公開男子組,2022-7,高雄市苓雅運動中心2樓西館
